Designator,Mid X,Mid Y,Rotation,Layer
C1,89.25,-84.0,0.0,top
C2,83.75,-84.0,0.0,top
C3,71.0,-77.6,90.0,top
C4,76.8,-77.55,90.0,top
J1,75.25,-93.5,0.0,top
J2,100.0,-84.75,90.0,top
J3,48.0,-85.5,90.0,top
R1,60.5,-85.5,0.0,top
R2,60.5,-79.0,0.0,top
R3,60.5,-91.75,0.0,top
R4,88.5,-74.5,0.0,top
R5,88.5,-79.5,0.0,top
R6,90.15,-94.0,180.0,top
U1,74.525,-85.3625,0.0,top
U2,86.0,-88.5,0.0,top
